APN_SEQUENCE_NUMBER,FIPS_CODE,CITY,HOUSE_NUMBER,MODE,STATE,STREET_NAME,UNFORMATTED_APN
,,CASTLE HAYNE,10,RD,NC,CASTLE FARMS,R01000005039000
,,CASTLE HAYNE,3449,AVE,NC,MARATHON,R01000002028000
,,CASTLE HAYNE,3213,AVE,NC,MARATHON,R01000002005000
,,CASTLE HAYNE,12,RD,NC,CASTLE FARMS,R01000005026005
,,CASTLE HAYNE,3616,AVE,NC,PRINCE GEORGE,R01000005004000
,,CASTLE HAYNE,6805,RD,NC,OLD BRIDGESITE,R00517002002000
,,CASTLE HAYNE,100,DR,NC,BAVARIAN,R01000001015000
,,CASTLE HAYNE,6417,DR,NC,GRANDVIEW,R01100006029000
,,CASTLE HAYNE,5027,CT,NC,MARATHON LANDING,R01000002008019
,,CASTLE HAYNE,3323,AVE,NC,MARATHON,R01000002008005
,,CASTLE HAYNE,3513,AVE,NC,NORTHEAST,R00400001001001
,,CASTLE HAYNE,3400,AVE,NC,MARATHON,R01000001005002
,,CASTLE HAYNE,3715,AVE,NC,PRINCE GEORGE,R01000003030000
,,CASTLE HAYNE,5026,CT,NC,MARATHON LANDING,R01000002008018
,,CASTLE HAYNE,3811,AVE,NC,NORTHEAST,R01100001008000
,,CASTLE HAYNE,3412,AVE,NC,PRINCE GEORGE,R01000005012000
,,CASTLE HAYNE,3237,AVE,NC,MARATHON,R01000002007000
,,CASTLE HAYNE,3719,AVE,NC,NORTHEAST,R01100001001000
,,CASTLE HAYNE,5036,CT,NC,MARATHON LANDING,R01000002008009
,,CASTLE HAYNE,6600,RD,NC,OLD BRIDGESITE,R01100003010000
,,CASTLE HAYNE,3425,AVE,NC,MARATHON,R01000002023000
,,CASTLE HAYNE,3600,AVE,NC,LYNN,R01000004002000
1,37129,CASTLE HAYNE,3911,AVE,NC,LUND,R00500001001000
1,37129,CASTLE HAYNE,3614,AVE,NC,MARATHON,R01000001001000
1,37129,CASTLE HAYNE,3424,AVE,NC,MARATHON,R01000001004000
1,37129,CASTLE HAYNE,3245,AVE,NC,MARATHON,R01000002007001
1,37129,CASTLE HAYNE,3429,AVE,NC,MARATHON,R01000002012000
1,37129,CASTLE HAYNE,3501,AVE,NC,MARATHON,R01000002022000
1,37129,CASTLE HAYNE,3637,AVE,NC,LYNN,R01000005029000
1,37129,CASTLE HAYNE,3607,AVE,NC,LYNN,R01000005047000
